DateTime (UTC),Transaction Hash,ContractAddress,label
2026-04-12 02:19:13,0xb5331ffdcd1f62b6dfc1d055f8965e79e94734fd90a799c071aa85733cd79bc1,0x060a5f0c523d860a8d2c40a09b22a20fa2fa87f6,Unclassified deployment from deployer wallet
2026-04-12 07:11:57,0xd0414697350e29e3234354bd07eb9f295f761187313e97c82736df9224ff20f7,0xf7003162b3e3e74b91f03147df3b77e5b176f3cd,Unclassified deployment from deployer wallet
2026-04-13 09:28:41,0x86cf1b3e7f602f6d754c6f7d1e11661012aac73076866b0c75b0c71a5d255ecf,0xa93c8b03e5efe2d777b948ff629a82ed05d2c071,Unclassified deployment from deployer wallet
2026-04-14 08:04:23,0x9d044c2ed874f24146c8b8bba2eecbb3b970d089ef849de9551b185c7362e141,0xc2ac26d60f5b228f9b0c47fb8e1c7cf273da35f4,Unclassified deployment from deployer wallet
2026-04-15 03:12:00,0x8f4b19de5e40f108853f156450404108ef2f33a1df4e3c53e7b43c55081c2c18,0x4bdddd18670a41813015713394465106793d58a6,Unclassified deployment from deployer wallet
2026-04-15 06:09:44,0x0dce43f71b33680041bbc9e1c0545238d56996bbf32daeccd7df94265eb93200,0x375ca1cf515b59dcee8829ab4e9a45bc2f274331,Unclassified deployment from deployer wallet
2026-04-15 06:29:04,0x1a3f4d7ced7f5496673169574dfd847e692d5c253d96c729c79c69842cffe04f,0x3586b123191be1944dbda623079ced5b6c8d03fe,Unclassified deployment from deployer wallet
2026-04-15 07:50:48,0x7de1e00c84493cb1284c6ff411a9ea7cb8e8bca86be5221922fdf52b032adaa4,0x440a756e16d4b42a015ec61258759037a454ec79,Unclassified deployment from deployer wallet
2026-04-15 07:54:44,0x4d50361e64e854d36b6a25300151d840fe275c3f4e8e0e07afe8280b2143ae23,0xa361cb84422452bdef5a04a447492ad176b09c0b,Unclassified deployment from deployer wallet
2026-04-15 08:34:22,0xad4a50f56295f198a5b39db66b6c16f9c6c4449c49a9ab42437d39c3a57406bb,0x5a0c3d5f6a814dda121fe174ffd963451e9fca4f,Unclassified deployment from deployer wallet
2026-04-23 09:57:22,0x487a19d78dc8defc7f5b5e9c2a0476cbbf8fb7a702a0fadf54b55e60534d4430,0xd9210de64a369c0b89b82949a84efe170801f79d,Unclassified deployment from deployer wallet
2026-04-25 11:08:20,0x53084be60370f0ebdeea146532871c3d457c5834dffb02bd73ea17ff80931f4c,0xed8c432fdfba629387eed06c1dc5ca6087c1c09b,Unclassified deployment from deployer wallet
2026-04-26 21:13:40,0xc86f3bdc6bd72c34e88e29245a3b07b3f2d6365a7aa492db5dea743067170b3c,0xd0692ec758bb852421b702b187b6439f74f8bf3b,Exchange V2 (old/historical)
2026-04-27 08:43:10,0x2608c1b98198b0a11eb1f887c1acd8a9c37fb0c7245fe22da5f21cda554c9798,0x4fd4fc509e83f011a509f0b3406d35652169b8ff,Unclassified deployment from deployer wallet
2026-05-03 08:01:02,0xb1f06800e8a660633c930e31d732608e93b2ce213b9a9e249b80b5ca3690429b,0x60118f7ebdd03bab0266732d1087078de2cbe67e,Unclassified deployment from deployer wallet
2026-05-03 08:41:38,0xa46b06de8a0b182a6fa71b9d45ad6e53a44b0ee035d7294bbc65a6fe18c17e00,0x113579220515cd59b884ea2379b4c369025246e2,Unclassified deployment from deployer wallet
2026-05-04 19:59:30,0xcfde61ccf57d2d91c0eee6e1b078fbce5721b67a8e5c4b6cb530edf2ca9a7d4c,0xffc3499a71b806c3919f4b54d236b151cfdcb453,Unclassified deployment from deployer wallet
2026-05-04 20:20:30,0x51d36cae1e79ee5652862f2cb7d58f42e028b90c18d0de9522e914b62cfecf16,0xb936d1a9ec0ee2abb2d26e56f85097476a5dcd0a,Unclassified deployment from deployer wallet
2026-05-04 20:27:16,0xbbf811a60e138019f8a444062da7bcd92ee5bf8a73e858896000fab5ee81f939,0x1c01bd6ccc2c9acfb59f37f7877a7a2718167abe,Unclassified deployment from deployer wallet
2026-05-15 06:55:26,0x2dc6a3edcdde3aa641b145c4c139b16f9023168d23016d54988cdcdfc42e206a,0xf80d9ea4c9bbb393d390b5568f04c81931a8f599,Unclassified deployment from deployer wallet
2026-05-15 07:04:14,0x85509242f8e4cbcab65d5683648e1d143cfd44f65392601378a63678ebac2f2f,0xd9c423357e4420db9a1932fd8713a7d066ea9884,Unclassified deployment from deployer wallet
2026-05-15 07:16:26,0x31a1bb34a42c09e43e201e8f35a14e579eb32854742da987a227911febdf3ada,0x716452cf3d183bc2392f80cfaca3f9d88ccb6882,Unclassified deployment from deployer wallet
2026-05-19 05:47:25,0x1792724a0d4122158e989593ca6e00ca4cfb8628655fea20197b26168b6e1262,0x99f90e3da7b40988fe808e77b0aec51dafdff1cc,Unclassified deployment from deployer wallet
2026-05-19 06:04:17,0x45cf7d591bd3e707d935ef2913dfe913ba1ee0dc67294be49dea3d1bffa413d6,0xdbdd4040442965cf6498eedc0df140a5fac275a7,Unclassified deployment from deployer wallet
2026-05-19 16:02:17,0x6e73cec02741580cea313d25561c4c0917a2751d5c54e8e1fdcfb39ef77967a2,0xe2a791fd057bba5aea0efcfb8b97f9de74cc7c06,Unclassified deployment from deployer wallet
2026-05-19 16:07:11,0xad2786d1dc3049a693d8279d70297d47babdbf6b5ae9451a65b40f506bb83d3e,0x3edfa4be01e7a244357198260f2432094690ab65,Unclassified deployment from deployer wallet
2026-05-19 16:12:54,0xc6ea1a0a4b17eda789a109ff09b2e41e2fdfe2fa567414247e98dd552a067014,0x260e5c1da01a51a3059fdb2163914ac9ff83c0f7,Unclassified deployment from deployer wallet
2026-05-19 20:48:17,0x03154b7aa6c1a159b073cc7de8a8c7369c3b7a194f9bbba124eedcaf03a49c75,0x428f21d77c2774badf14cd13bfa4fc18d62184b2,Unclassified deployment from deployer wallet
2026-05-19 21:05:51,0xed6a35cdafed82211a7338b9d72c77e8d9619c540c3028656b6aa8614746f18f,0xc481b181efe184f06aef999c928921859fc7f483,Unclassified deployment from deployer wallet
2026-05-19 21:08:23,0x4ca5ee024b79e0fc2189481f7b0756f4c9320e778fe336fcaa62bc8e8b64e6bd,0x9310f6eca828fdff05c16220cbb21eeca0d6f77d,Unclassified deployment from deployer wallet
2026-05-20 19:47:02,0x5e90ffaa11e0aa16b4838c8faff311adaeabbb1cdea43588aee4b696355b581c,0xa0060e934377d3e9d74699d48d46a491aeb976b9,Unclassified deployment from deployer wallet
2026-05-20 20:43:02,0x6fa363d39cb4fafc0353bbd9762954ce3a5fbe54dd92ae0fb21f84ced2333d22,0x858212375299ba9ed198cdc5ab525dc45e08593b,Unclassified deployment from deployer wallet
2026-05-20 21:08:57,0xe504ba83ad195bcc160d01cd1d1d99ff998c045a1ba714e82c7a808d2a63cb71,0x94c83d82bd04947c3ec426b99c316d49da977af2,Unclassified deployment from deployer wallet
2026-05-20 21:12:29,0xff308db0641b510baeb9b148f8da3c181f18f3fa6bd173be54e49b2fa868fc13,0x69b3317d3d742afa6cd770f7ca29eeeacdda073d,Unclassified deployment from deployer wallet
2026-05-21 08:08:44,0x5e58935409447db2f06b5b658f2db6182c0d56af1380194f54e8dae4b479fc47,0x8ceb1cc33ff4f1ec30901fc5795b57a5b175a12e,Unclassified deployment from deployer wallet
2026-05-21 08:17:50,0xe74ba7a324579746dd3949d7f0ef1ecd1d94c3671b429005dc749cfb0ebe50c3,0x8840368d41b93db9c718e9a9039b625028b23b0b,Unclassified deployment from deployer wallet
2026-05-21 09:31:06,0xc55902ff80f05a7b01be275dcd5f0ab47d5653d6f916b67bde74cebc72e7e519,0x7a9ed74239b880aa3c287e022995f40cd1e3896e,Unclassified deployment from deployer wallet
2026-05-21 09:33:12,0xd26aa53f66d1eb747144304af1e4e1379f0beab9fab6200fc241b37594141349,0xfe2ec98952950d25ed98788811b4b64141a2410c,Unclassified deployment from deployer wallet
2026-05-21 20:54:57,0xb76e6d0c65f10e082c130d1fa96e797225afb7ae1bc915d18eb27fe7e05123c0,0xee7a568a43c0e653f3ccbf9448691ba57176d977,Unclassified deployment from deployer wallet
2026-05-22 07:55:50,0xfa929f9a101e47b39808c9e35bb139b1822ab23b2f6a5f34bac6787530e034e2,0x4879b8dda14c3023bf61f50953eb777676980e13,Unclassified deployment from deployer wallet
2026-05-22 08:25:31,0x108b8fa4539b0dce488ce705e11cd0287b9879536ec366e9b6169b27af691d0c,0x3be23d34086d1e1ca83a9d847d2f5b2e947e3677,Unclassified deployment from deployer wallet
2026-05-22 09:09:53,0x4800cb4b445275c653020f584f445a688184de0ecc07749b9244e3cfe53e6fd1,0x5f20325bd7c0c12b240552abd0f197cb3f9c4079,Unclassified deployment from deployer wallet
2026-05-22 09:26:01,0x4c61011a1c9c23446e339b010b61c63c93cdd8c723fc3ff58d2026fb7d3862c4,0xd594d97bbeb6a02253613b48c68bf1524be1d5c2,Unclassified deployment from deployer wallet
2026-05-22 19:40:04,0xf2152c2e34cdb868ffb0bdc0c9f9dbcbb1fb8741bf81df9e39020fa95607d6fe,0x1198607c796fb417cf35fed088dbfde6da40b388,Unclassified deployment from deployer wallet
2026-05-22 19:54:44,0x73a9c753d27b4cfe7773681f7167635b58386e54ca40f6fcd538ea1dfe138793,0x26d83f19eae411bfcea2ab92834fc66f3bfad843,Unclassified deployment from deployer wallet
